,F1-Score,Accuracy,Precision,Recall,Specificity,ROC-AUC,Bias Gap
Random Forest (Debiased),0.8638822115384616,0.8613618974751339,0.8483328415461788,0.8800122436486073,0.8427172582619339,0.9352411957563844,0.03729498538667342
Logistic Regression (Debiased),0.8621790001519526,0.8612088752869166,0.856065178032589,0.8683807774716865,0.8540391676866586,0.9347550839427995,0.014341609785027964
